module,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
module_Shah_contrast_06,-1.0999774620544294,2.063626998902519,-11.085917266063134,6.156741192902044e-10,1.108213414722368e-8,12.911470942530208,uninfected,down
module_Shah_contrast_13,0.9410804331381888,2.4077613653956473,9.635541539102126,6.517426213871514e-9,5.431721275938496e-8,10.512738925396654,uninfected,up
module_Shah_contrast_14,0.6992856372725855,2.572099026953527,9.444528403848501,9.052868793230827e-9,5.431721275938496e-8,10.178109096234014,uninfected,up
module_Shah_contrast_12,-0.6003352114135314,4.7149760823376,-7.461666887576523,3.597782271397775e-7,1.6190020221289989e-6,6.42469125861355,uninfected,down
module_Shah_contrast_15,0.5851739380271566,4.297339632358481,7.322060291249574,4.7544945795792483e-7,1.7116180486485294e-6,6.140609699904744,uninfected,up
module_Shah_contrast_05,-0.80406102174494265,4.209298319821765,-6.580109603827191,2.185960601165173e-6,5.742922106559752e-6,4.5873505431587605,uninfected,down
module_Shah_contrast_07,0.662091763873617,4.354387373841432,6.569925164900225,2.2333585969954588e-6,5.742922106559752e-6,4.565531419356399,uninfected,up
module_Shah_contrast_16,0.3732925452880842,2.59900131774857,4.288916446799049,3.6568971534377905e-4,8.228018595235029e-4,-0.5812592270577337,uninfected,up
module_Shah_contrast_11,-0.3388884861666126,4.9490488222166045,-4.090795192682825,5.797678389649392e-4,0.0011595356779298784,-1.0399479423144768,uninfected,down
module_Shah_contrast_17,-0.7521395999839537,3.8570058915988925,-3.7269654736837436,0.001350834424309376,0.002431501963756877,-1.8769118092305739,uninfected,down
module_Shah_contrast_10,-0.2927638875478804,3.512070571527931,-3.6454543081781527,0.0016317350150259272,0.0026701118427696993,-2.062832182083933,uninfected,down
module_Shah_contrast_02,-0.22404527562212095,4.677944878574234,-2.9135373711248937,0.008655700325679546,0.012983550488519319,-3.68298457635242,uninfected,down
module_Shah_contrast_09,0.2135582797212905,2.998158980441352,2.368267337693141,0.028175428808317624,0.039012132196132095,-4.79366526914454,uninfected,up
module_Shah_contrast_01,0.1379516568696353,5.389584257391167,1.8847417386842018,0.07424073363632422,0.09545237181813114,-5.667166821547683,uninfected,up
module_Shah_contrast_04,-0.1419592776653813,5.182431989197233,-1.3136651743659773,0.20398876112425746,0.24478651334910895,-6.510468946696878,uninfected,down
module_Shah_contrast_08,-0.10148322498810991,5.12546792245418,-1.1893349147293524,0.24838585108804806,0.2645102257652563,-6.661289252216682,uninfected,down
module_Shah_contrast_03,0.09870688071013412,4.716756334333439,1.1856245324096029,0.24981521322274206,0.2645102257652563,-6.665592228407428,uninfected,up
module_Shah_contrast_00,0.008321739236169523,0.7843196142645261,0.11451692255835141,0.9099822027812832,0.9099822027812832,-7.369222904796645,uninfected,up
module_Shah_contrast_10,-0.6513711687551758,3.512070571527931,-8.110781193849418,1.0186799425303818e-7,1.8336238965546871e-6,7.910302883065799,infected,down
module_Shah_contrast_09,0.6916315958672512,2.998158980441352,7.669890019467588,2.385496272806331e-7,2.1469466455256977e-6,7.054603754737383,infected,up
module_Shah_contrast_16,0.5800776882711558,2.59900131774857,6.66475869676776,1.8299534831037446e-6,1.0378806396849435e-5,5.003814504290886,infected,up
module_Shah_contrast_02,-0.5040402822772272,4.677944878574234,-6.5546581818753005,2.3064014215220967e-6,1.0378806396849435e-5,4.7709099907140535,infected,down
module_Shah_contrast_11,-0.4848743298200926,4.9490488222166045,-5.853021446435788,1.0453104073341836e-5,3.7631174664030614e-5,3.251055354609883,infected,down
module_Shah_contrast_08,-0.46382342332758597,5.12546792245418,-5.435788936520521,2.6405858835251003e-5,7.9217576505753e-5,2.3209244854045936,infected,down
module_Shah_contrast_14,0.3748887802693397,2.572099026953527,5.063235314466688,6.133629253068629e-5,1.577218950789076e-4,1.4770230350315687,infected,up
module_Shah_contrast_01,0.3440193435897836,5.389584257391167,4.700107490489475,1.4106665642153862e-4,3.173999769484619e-4,0.6456758296967076,infected,up
module_Shah_contrast_03,0.37136254790864864,4.716756334333439,4.460646958458953,2.4544529430092765e-4,4.908905886018553e-4,0.09469841701160409,infected,up
module_Shah_contrast_04,-0.4443851943843491,5.182431989197233,-4.11225925819807,5.515210218853127e-4,9.92737839393563e-4,-0.7073169830701636,infected,down
module_Shah_contrast_00,0.29540912524983165,0.7843196142645261,4.065177117330207,6.153822817713436e-4,0.0010069891883531079,-0.8154893566213417,infected,up
module_Shah_contrast_05,-0.4638028206781373,4.209298319821765,-3.7955743557911714,0.0011519664623927852,0.0017279496935891777,-1.4325312471540395,infected,down
module_Shah_contrast_07,0.3068816288153373,4.354387373841432,3.04518111508228,0.006445617988155871,0.008924701829754283,-3.103877650926019,infected,up
module_Shah_contrast_17,-0.6073167812300513,3.8570058915988925,-3.0093465033371904,0.006986313165690444,0.008982402641602,-3.1809492783521045,infected,down
module_Shah_contrast_06,-0.20243537685087576,2.063626998902519,-2.040207110518119,0.054904314181952164,0.0658851770183426,-5.094955945173583,infected,down
module_Shah_contrast_15,0.13162297113398136,4.297339632358481,1.6469484844208635,0.1153602796566253,0.12978031461370346,-5.7386149882546436,infected,up
module_Shah_contrast_13,-0.09262959047290753,2.4077613653956473,-0.9484165596509204,0.35435878067789583,0.37520341483541914,-6.604934258424467,infected,down
module_Shah_contrast_12,-0.05545449861072793,4.7149760823376,-0.6892532508238952,0.4986682657184319,0.4986682657184319,-6.818795969341455,infected,down
