module,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
module_Shah_10,6.115675033713575,5.960555252976818,156.01479602475175,4.900645833446382e-25,6.305273202810698e-24,47.11126391194956,(Intercept),up
module_Shah_14,5.823341580437999,5.669737106574334,150.9193114869958,7.97440681581849e-25,6.305273202810698e-24,46.710070806805234,(Intercept),up
module_Shah_17,5.840026982870152,5.816013333201745,148.6523515926164,9.955694530753734e-25,6.305273202810698e-24,46.52521848985681,(Intercept),up
module_Shah_01,5.027859825459012,4.943237727498491,128.08793148440296,8.831948599358123e-24,4.150438178237502e-23,44.64513860051601,(Intercept),up
module_Shah_18,6.181550418811969,5.894704185591625,126.24513174137572,1.0922205732203953e-23,4.150438178237502e-23,44.45661137440875,(Intercept),up
module_Shah_04,4.569912649648714,4.277317264143857,110.51780830567405,7.676998831227936e-23,2.4310496298888466e-22,42.68545407361876,(Intercept),up
module_Shah_09,3.5815052102149827,3.857915231501231,96.29881137931537,5.774837241202785e-22,1.5674558226121846e-21,40.7854139157305,(Intercept),up
module_Shah_07,3.7714115692341728,3.391228263261247,75.37618728929235,2.086135230128641e-20,4.9545711715555224e-20,37.27782528267683,(Intercept),up
module_Shah_05,4.347306632223151,4.520220820756208,74.56656564155959,2.4433239066746293e-20,5.158128247424218e-20,37.120199917018745,(Intercept),up
module_Shah_12,3.888010348449079,4.022003298692196,63.06560704827413,2.832555909773418e-19,5.381856228569494e-19,34.650346883290396,(Intercept),up
module_Shah_03,4.9146201939298875,4.383459275287225,61.97153677722719,3.6583906929980864e-19,6.319038469723967e-19,34.389967768233234,(Intercept),up
module_Shah_15,4.934751863395016,5.254559808659101,56.33521497648653,1.4738497073192702e-18,2.3335953699221777e-18,32.964824763514585,(Intercept),up
module_Shah_08,2.6571040575685747,3.0954335720967348,43.37197752521309,6.686314459013604e-17,9.772305747789113e-17,29.01489628248771,(Intercept),up
module_Shah_13,3.294387058721497,3.403977447064274,34.140394734752405,2.1671939689569355e-15,2.941191815012984e-15,25.37062718844225,(Intercept),up
module_Shah_16,4.0947102899736265,3.632748292985477,29.606590736661477,1.7040661304394066e-14,2.1584837652232482e-14,23.19791996583202,(Intercept),up
module_Shah_11,1.2611167288599474,1.9788381567354203,16.585467961716176,6.571446571755818e-11,7.803592803960034e-11,14.452976325057364,(Intercept),up
module_Shah_02,1.2054305469223026,1.7671766802010092,6.411795913478488,1.29971930135655e-5,1.4526274544573205e-5,1.5665688199292163,(Intercept),up
module_Shah_06,0.563006506064582,1.242892406183819,4.12758184989434,9.346405042844948e-4,9.865649767447447e-4,-2.8572162686774627,(Intercept),up
module_Shah_00,0.09250889252006482,0.0634202813847903,1.2968315640909844,0.21471510621781845,0.21471510621781845,-8.044124861650136,(Intercept),up
module_Shah_11,1.102140832999081,1.9788381567354203,10.249307852339896,4.44982441008437e-8,8.454666379160302e-7,8.906367807535997,status,up
module_Shah_05,0.5897899440621006,4.520220820756208,7.153296603652448,3.7658652257230622e-6,3.577571964436909e-5,4.349361408026089,status,up
module_Shah_06,1.3214369530839887,1.242892406183819,6.850365283311888,6.190686745709752e-6,3.920768272282843e-5,3.8376809554183655,status,up
module_Shah_12,0.574694323846,4.022003298692196,6.59154282694227,9.55983496122169e-6,4.540921606580303e-5,3.390489666794064,status,up
module_Shah_18,-0.4435509211962565,5.894704185591625,-6.405391980936635,1.3141285744735692e-5,4.8203314124748246e-5,3.0631389851581545,status,down
module_Shah_01,-0.3482812775763121,4.943237727498491,-6.273937413427871,1.649949147514003e-5,4.8203314124748246e-5,2.8290954860203623,status,down
module_Shah_10,-0.3454637099772586,5.960555252976818,-6.231732776440336,1.7759115730170405e-5,4.8203314124748246e-5,2.7534503687192498,status,down
module_Shah_14,-0.32911654647727434,5.669737106574334,-6.031249146976067,2.5272930724939496e-5,6.00232104717313e-5,2.3907931252545964,status,down
module_Shah_03,-0.6547020938715526,4.383459275287225,-5.8375556962578505,3.572616575637347e-5,7.542190548567732e-5,2.0352581205234177,status,down
module_Shah_08,0.4910591767595144,3.0954335720967348,5.667864968479085,4.85874723417656e-5,9.231619744935464e-5,1.7196890023391234,status,up
module_Shah_07,-0.37108879251547044,3.391228263261247,-5.244367016769573,1.0644941975821351e-4,1.838671795823688e-4,0.916105601342009,status,down
module_Shah_13,0.676624537185932,3.403977447064274,4.958229901621978,1.832363414266281e-4,2.9012420725882783e-4,0.36108448172394336,status,up
module_Shah_02,1.2457782130896926,1.7671766802010092,4.685578639555728,3.103015337340183e-4,4.535176262266421e-4,-0.1758105453783898,status,up
module_Shah_17,-0.2369963657226637,5.816013333201745,-4.265634287225802,7.095696651243474e-4,9.629874026687572e-4,-1.0152358960256516,status,down
module_Shah_15,0.20127330240129596,5.254559808659101,1.6247472507135354,0.12550044499133003,0.15896723032235138,-6.001075119920735,status,up
module_Shah_16,-0.26772380532384066,3.632748292985477,-1.3687912234432917,0.19165914436542167,0.22759523393393824,-6.353939274988869,status,down
module_Shah_04,0.045807450555116175,4.277317264143857,0.783331314893312,0.4458947056245549,0.49835290628626727,-6.971548599598326,status,up
module_Shah_09,0.0231893021332363,3.857915231501231,0.44088773818614846,0.6657218292776381,0.702706375348618,-7.188443632414364,status,up
module_Shah_00,-0.004485251564429486,0.0634202813847903,-0.04446024987278736,0.9651370402171742,0.9651370402171742,-7.29005412650091,status,down
module_Shah_04,-0.719742650387046,4.277317264143857,-12.30797501018123,3.95248269073643e-9,7.509717112399218e-8,11.2916749920375,cell,down
module_Shah_09,0.6066529496188009,3.857915231501231,11.534018802490852,9.423240138456558e-9,8.95207813153373e-8,10.399472637768678,cell,up
module_Shah_07,-0.7765311002346198,3.391228263261247,-10.974230889488402,1.8205699722085226e-8,1.1530276490653975e-7,9.7215142606229,cell,down
module_Shah_08,0.7747642789743951,3.0954335720967348,8.94242389401157,2.537348914590315e-7,1.2052407344303995e-6,6.998949002901764,cell,up
module_Shah_11,0.6519750090495436,1.9788381567354203,6.063011531473162,2.3890112569265385e-5,9.078242776320845e-5,2.2927138484404495,cell,up
module_Shah_03,-0.5825257433001464,4.383459275287225,-5.194005797216474,1.1703900483047328e-4,3.706235152964987e-4,0.6560223742959419,cell,down
module_Shah_16,-0.9699614835659449,3.632748292985477,-4.959121076951433,1.8292376372144514e-4,4.96507358672494e-4,0.19800268755362982,cell,down
module_Shah_15,0.6022838723450946,5.254559808659101,4.861842351007671,2.205232315500045e-4,5.237426749312606e-4,0.006594321027702854,cell,up
module_Shah_18,-0.23889739532854892,5.894704185591625,-3.449956672792165,0.0036749813609842463,0.007758293984300076,-2.8396670778040907,cell,down
module_Shah_13,-0.4603092113592643,3.403977447064274,-3.3730950775826942,0.004296125232600968,0.008162637941941837,-2.994967030172174,cell,down
module_Shah_17,0.1536175027724099,5.816013333201745,2.764920402664779,0.014678969454708824,0.02535458360358797,-4.200649160338762,cell,up
module_Shah_00,-0.2696414949805939,0.0634202813847903,-2.672832966155832,0.01763527369019255,0.027922516676138202,-4.377631028734617,cell,down
module_Shah_06,0.3112596482331414,1.242892406183819,1.6135785240271396,0.12791632666585112,0.18695463128085932,-6.19847478057833,cell,up
module_Shah_02,-0.3459171021668739,1.7671766802010092,-1.3010516381967154,0.21330443530319626,0.2894845907686235,-6.621401315618782,cell,down
module_Shah_10,-0.06671621344851086,5.960555252976818,-1.2034769559281453,0.2478524200559361,0.31394639873751906,-6.7388885053077745,cell,down
module_Shah_01,0.012413129174049128,4.943237727498491,0.22361005473719645,0.8261445873907437,0.9685923341939875,-7.447568843440607,cell,up
module_Shah_05,-0.006660039944786559,4.520220820756208,-0.08077662496092856,0.9367112253030869,0.9685923341939875,-7.47067092576755,cell,down
module_Shah_14,-0.004334419325538837,5.669737106574334,-0.07943071577410896,0.9377633637438642,0.9685923341939875,-7.470785672795684,cell,down
module_Shah_12,-0.0034919203957486924,4.022003298692196,-0.040051105225494765,0.9685923341939875,0.9685923341939875,-7.473289991333448,cell,down
module_Shah_07,0.774506561608481,3.391228263261247,7.739721662947711,1.4890202844840191e-6,2.8291385405196364e-5,5.478293065317564,status:cell,up
