module,Lu01,Lu02,Lu03,Lu04,Lu05,Lu06,Lu07,Lu08,Lu09,Lu10,Lu11,Lu12,Lu13,Lu14,Lu15,Lu16
module_Shah_00,0.42597692127547493,0.6149923038438669,0.43288621335425437,0.6080217064443623,0.46200200500115907,0.6961585877526861,0.3748578943812818,0.5819713747346319,0.31990819434122764,0.6760534844161371,0.40833337496973365,0.41186891512976853,0.4837199528730044,0.7067919069741906,0.44353357795623966,0.3892143189831257
module_Shah_01,3.7239855438253504,4.487502685445507,3.7229604128647513,4.159831078343941,3.7317685022722715,4.239404335297894,3.5992118679128735,4.377534017124859,3.4664268078796314,4.004269459324048,3.358797052113176,3.504795482714022,3.577409415960477,3.9165266761877477,3.5276713701880738,3.904620898216749
module_Shah_02,5.640668277971401,5.304823693825574,5.547123471660916,5.366334067440143,5.604556775115887,5.390275801494471,5.649082194273009,5.358426378051512,5.756543784725768,5.557034892934259,5.7243883814389465,5.858753536665249,5.682243851821779,5.552359057912453,5.6402458348172,5.604810647191305
module_Shah_03,1.4154360424757757,2.8513945740526747,0.5202230322675881,1.4280157359197596,1.0562497045920518,2.1403524785086483,1.1455678817250081,2.3105024139057218,1.11724361327641,2.9766182992935524,0.047760531965928124,1.7270638234724476,0.6685993156264739,2.4372236899690622,0.5309501597534251,2.348582057125138
module_Shah_04,5.497639878323517,5.024306289059213,5.365573867332964,5.07066535813361,5.4886499098548365,5.128249998934772,5.404959155540907,5.086006756190266,5.373471529477312,5.14890362262788,5.43220137622179,5.010109911244387,5.354317639891818,5.15357088023501,5.370164054490939,5.145131766364588
module_Shah_05,5.29193842790405,4.865984558683452,5.200247878073182,4.965755094341386,5.220945891576416,4.950821554029526,5.2502637975568645,4.917695582976493,5.353192151715468,5.189548234709917,5.370195862120989,5.130608126614964,5.246453204846372,5.154658128093787,5.199761306511849,5.149131120344331
module_Shah_06,4.922464842585776,5.000563806478961,5.361468267539671,5.500108329227289,5.1358671461409475,5.251139757898238,5.050608131653645,5.204470617968635,5.575818178323402,5.247324559558991,5.724260300946215,5.83692330110293,5.636043024987796,5.4956892739329035,5.584840309632996,5.453638598169024
module_Shah_07,0.48195902764826665,2.1026156275988592,0.9014092865029156,1.6517779207106422,0.4128069940672749,1.7312169930733288,0.7161287245127712,1.8698527404475638,0.662395420396913,1.834935577847099,0.902115856488022,1.8295893376301875,0.7294678993902971,1.5680274783998482,0.6618299139243302,1.5590109415316633
module_Shah_08,5.067010406258095,4.385172218192485,4.443566826507986,3.852857995367438,4.989165397532723,4.228465355667741,4.959041341218397,4.424599324023158,4.41634160153167,4.134942677019181,4.017395208100684,3.6327472928789493,4.297443556713301,3.989327074896053,4.195040050574011,3.9588178425659266
module_Shah_09,4.36859301597967,4.407614885591294,3.80480346050406,3.5316278390926903,4.178583934203666,3.98005991427904,4.249706966403851,4.1545032614442405,3.473755214605079,4.0759855674591865,3.073788459122943,3.151454913404947,3.29723970537288,3.666223082596181,3.3592554178454757,3.729470913478227
module_Shah_10,2.3626661851536856,2.6721326745870875,2.4841817793571805,2.5243286625981125,2.538950837608453,2.744144891761182,2.4629061305675446,2.7268802953232205,3.187531819023357,3.0436644088946925,3.131505235873379,3.230439897343921,3.2434668964918094,3.0289124513344046,3.1960408052954823,3.129558782989048
module_Shah_11,3.306662643196993,3.8747776819071897,3.930927104123088,4.3891481800991645,3.402414972356358,4.031081968212996,3.43616258080264,4.090112172621209,3.9657170054055975,3.9693090727401814,4.214223922850224,4.534969263186858,4.003431842442053,4.1819352690290525,4.140395309858298,4.278664160572941
module_Shah_12,3.3202394752699282,3.5557589815370854,3.578061830809398,3.5975256358833754,3.550658361253996,3.7901933024091186,3.3839037775987237,3.6012937516446577,4.032363618537745,3.691511962740991,4.016453248282893,3.541515122379013,4.1191669462477565,3.8337027456742034,4.187111459654967,3.6594162513999673
module_Shah_13,0.40366029190087943,1.769648932032807,0.6939283528228359,1.4716466075332577,0.16153734938003708,1.401378295838894,-0.15143111846858842,1.2870736693909386,1.021828112599341,1.8501945720218782,1.0045127506808142,1.0355038047383944,0.8318069136766184,1.6674133571859684,0.7916270037249188,1.393775797537932
module_Shah_14,6.054045079507033,5.6605743174266445,5.818273605030837,5.638305184403291,6.0609516216445884,5.665598983036348,6.105525089343935,5.70960665503121,5.903623950061638,5.708208048123544,5.86239414350837,6.032961375047127,5.887887988941021,5.760896947253453,5.964347381893966,5.8309845774553235
module_Shah_15,4.637287445272936,4.539988437148383,4.62964592899202,4.61164008738946,4.647800737473965,4.434304205405197,4.607110519456489,4.606183092266298,3.759717013876499,4.190138795357392,4.008242204833089,3.8002586684539277,4.028729361673904,4.255994739082555,4.099878111445049,4.181846222888631
module_Shah_16,4.0820359090528395,3.8202517282414883,3.9436044366371075,3.7948317923909207,4.126495223432786,3.879619531441776,4.166405195686605,3.8995127015335784,3.421577593717739,3.42507346209432,3.222961401092869,3.5405763215005295,3.292710487368949,3.4701147632444287,3.2366111676804805,3.3184707110142746
module_Shah_17,4.484354173400432,5.085976855887154,4.85567800004016,5.173624158498086,4.608454207345172,5.077274717341896,4.541112934740714,5.133338045302816,4.5619368293580855,4.487693297767979,4.569296508708061,5.020590671136116,4.646778628284875,4.780733708870594,4.876906986042983,4.7459992113936735
