geneName,module,mgi_symbol,gene_biotype,module.char,mod.color
ENSMUSG00000046447,13,Camk2n1,protein_coding,13,salmon
ENSMUSG00000046532,7,Ar,protein_coding,07,black
ENSMUSG00000046546,1,Fam43a,protein_coding,01,turquoise
ENSMUSG00000046562,3,Unc119b,protein_coding,03,brown
ENSMUSG00000046574,0,Prr12,protein_coding,00,grey
ENSMUSG00000046591,0,Ticrr,protein_coding,00,grey
ENSMUSG00000046668,3,Cxxc5,protein_coding,03,brown
ENSMUSG00000046675,14,Tmem251,protein_coding,14,cyan
ENSMUSG00000046688,4,Tifa,protein_coding,04,yellow
ENSMUSG00000046691,23,Chtf8,protein_coding,23,darkturquoise
ENSMUSG00000046718,2,Bst2,protein_coding,02,blue
ENSMUSG00000046727,6,Cystm1,protein_coding,06,red
ENSMUSG00000046733,7,Gprc5a,protein_coding,07,black
ENSMUSG00000046798,11,Cldn12,protein_coding,11,greenyellow
ENSMUSG00000046805,5,Mpeg1,protein_coding,05,green
ENSMUSG00000046814,2,Gchfr,protein_coding,02,blue
ENSMUSG00000046834,6,Krt1,protein_coding,06,red
ENSMUSG00000046836,18,Brox,protein_coding,18,lightgreen
ENSMUSG00000046862,1,Pramef8,protein_coding,01,turquoise
ENSMUSG00000046865,10,Fbl,protein_coding,10,purple
ENSMUSG00000046873,22,Mbtps2,protein_coding,22,darkgreen
ENSMUSG00000046876,6,Atxn1,protein_coding,06,red
ENSMUSG00000046908,9,Ltb4r1,protein_coding,09,magenta
ENSMUSG00000046909,6,Tefm,protein_coding,06,red
ENSMUSG00000046962,11,Zbtb21,protein_coding,11,greenyellow
ENSMUSG00000046997,9,Spsb4,protein_coding,09,magenta
ENSMUSG00000047003,17,Zfp41,protein_coding,17,grey60
ENSMUSG00000047036,1,Zfp445,protein_coding,01,turquoise
ENSMUSG00000047045,1,Tmem164,protein_coding,01,turquoise
ENSMUSG00000047115,22,Fam221a,protein_coding,22,darkgreen
ENSMUSG00000047123,22,Ticam1,protein_coding,22,darkgreen
ENSMUSG00000047139,6,Cd24a,protein_coding,06,red
ENSMUSG00000047146,3,Tet1,protein_coding,03,brown
ENSMUSG00000047153,1,Khnyn,protein_coding,01,turquoise
ENSMUSG00000047180,9,Neurl3,protein_coding,09,magenta
ENSMUSG00000047205,5,Dusp18,protein_coding,05,green
ENSMUSG00000047215,2,Rpl9,protein_coding,02,blue
ENSMUSG00000047222,5,Rnase2a,protein_coding,05,green
ENSMUSG00000047228,10,A2ml1,protein_coding,10,purple
ENSMUSG00000047248,1,C2cd3,protein_coding,01,turquoise
ENSMUSG00000047250,19,Ptgs1,protein_coding,19,lightyellow
ENSMUSG00000047281,7,Sfn,protein_coding,07,black
ENSMUSG00000047330,7,Kcne4,protein_coding,07,black
ENSMUSG00000047344,3,Lancl3,protein_coding,03,brown
ENSMUSG00000047363,3,Cstad,protein_coding,03,brown
ENSMUSG00000047369,24,Dnah14,protein_coding,24,darkgrey
ENSMUSG00000047388,1,Atmin,protein_coding,01,turquoise
ENSMUSG00000047415,3,Gpr68,protein_coding,03,brown
ENSMUSG00000047417,7,Rexo1,protein_coding,07,black
ENSMUSG00000047423,2,AI837181,protein_coding,02,blue
ENSMUSG00000047434,15,Xxylt1,protein_coding,15,midnightblue
ENSMUSG00000047462,20,Gpr141b,protein_coding,20,royalblue
ENSMUSG00000047507,3,Baiap3,protein_coding,03,brown
ENSMUSG00000047515,14,BC049715,protein_coding,14,cyan
ENSMUSG00000047547,5,Cltb,protein_coding,05,green
ENSMUSG00000047557,2,Lxn,protein_coding,02,blue
ENSMUSG00000047591,22,Mafa,protein_coding,22,darkgreen
ENSMUSG00000047592,8,Nxpe5,protein_coding,08,pink
ENSMUSG00000047632,20,Fgfbp3,protein_coding,20,royalblue
ENSMUSG00000047675,2,Rps8,protein_coding,02,blue
ENSMUSG00000047712,3,Ust,protein_coding,03,brown
ENSMUSG00000047714,5,Ppp1r2,protein_coding,05,green
ENSMUSG00000047731,17,Wbp1l,protein_coding,17,grey60
ENSMUSG00000047747,8,Rnf150,protein_coding,08,pink
ENSMUSG00000047767,13,Atg16l2,protein_coding,13,salmon
ENSMUSG00000047786,11,Lix1,protein_coding,11,greenyellow
ENSMUSG00000047810,1,Ccdc88b,protein_coding,01,turquoise
ENSMUSG00000047821,0,Trim16,protein_coding,00,grey
ENSMUSG00000047866,17,Lonp2,protein_coding,17,grey60
ENSMUSG00000047867,3,Gimap6,protein_coding,03,brown
ENSMUSG00000047875,18,Gpr157,protein_coding,18,lightgreen
ENSMUSG00000047880,3,Cxcr5,protein_coding,03,brown
ENSMUSG00000047907,3,Tshz2,protein_coding,03,brown
ENSMUSG00000047963,10,Stbd1,protein_coding,10,purple
ENSMUSG00000048087,22,Gm4737,protein_coding,22,darkgreen
ENSMUSG00000048120,18,Entpd1,protein_coding,18,lightgreen
