Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
JIANG_HYPOXIA_VIA_VHL,2,2/590,19/17483,0.4166750172604566,121022/59005,Mrps6/Trappc2l,ENSMUSG00000039680/ENSMUSG00000015013,C2,CGP
KIM_HYPOXIA,2,2/590,19/17483,0.4166750172604566,30794/11717,Pdlim4/Ampd3,ENSMUSG00000020388/ENSMUSG00000005686,C2,CGP
KIM_MYCL1_AMPLIFICATION_TARGETS_DN,2,2/590,19/17483,0.4166750172604566,17750/17748,Mt2/Mt1,ENSMUSG00000031762/ENSMUSG00000031765,C2,CGP
LANDIS_ERBB2_BREAST_PRENEOPLASTIC_UP,2,2/590,19/17483,0.4166750172604566,16534/76509,Kcnn4/Plet1,ENSMUSG00000054342/ENSMUSG00000032068,C2,CGP
LIN_TUMOR_ESCAPE_FROM_IMMUNE_ATTACK,2,2/590,19/17483,0.4166750172604566,27226/16449,Pla2g7/Jag1,ENSMUSG00000023913/ENSMUSG00000027276,C2,CGP
MARSON_FOXP3_CORE_DIRECT_TARGETS,2,2/590,19/17483,0.4166750172604566,12481/16452,Cd2/Jak2,ENSMUSG00000027863/ENSMUSG00000024789,C2,CGP
MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN,2,2/590,19/17483,0.4166750172604566,319939/13819,Tns3/Epas1,ENSMUSG00000020422/ENSMUSG00000024140,C2,CGP
MEISSNER_NPC_ICP_WITH_H3K4ME3,2,2/590,19/17483,0.4166750172604566,69106/19921,Stoml1/Rpl19,ENSMUSG00000032333/ENSMUSG00000017404,C2,CGP
SCIBETTA_KDM5B_TARGETS_UP,2,2/590,19/17483,0.4166750172604566,30957/338366,Mapk8ip3/Mia3,ENSMUSG00000024163/ENSMUSG00000056050,C2,CGP
VERRECCHIA_RESPONSE_TO_TGFB1_C1,2,2/590,19/17483,0.4166750172604566,18129/16785,Notch2/Rpsa,ENSMUSG00000027878/ENSMUSG00000032518,C2,CGP
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP,4,4/590,58/17483,0.4166750172604566,140493/319939/12527/16190,Kcnn3/Tns3/Cd9/Il4ra,ENSMUSG00000000794/ENSMUSG00000020422/ENSMUSG00000030342/ENSMUSG00000030748,C2,CGP
