Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN,13,13/590,195/17849,0.0802013196835995,75345/17750/114128/27226/16534/11658/17748/70789/74840/17250/12913/13039/22166,Slamf7/Mt2/Laptm4b/Pla2g7/Kcnn4/Alcam/Mt1/Kynu/Manf/Abcc1/Creb3/Ctsl/Txn1,ENSMUSG00000038179/ENSMUSG00000031762/ENSMUSG00000022257/ENSMUSG00000023913/ENSMUSG00000054342/ENSMUSG00000022636/ENSMUSG00000031765/ENSMUSG00000026866/ENSMUSG00000032575/ENSMUSG00000023088/ENSMUSG00000028466/ENSMUSG00000021477/ENSMUSG00000028367,C7
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_UP,13,13/590,195/17849,0.0802013196835995,18733/100041146/105522/101706/229473/20104/67890/26961/76846/15531/71472/19951/19303,Pirb/Gm15448/Ankrd28/Numa1/Tmem131l/Rps6/Ufm1/Rpl8/Rps9/Ndst1/Usp19/Rpl32/Pxn,ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000014496/ENSMUSG00000066306/ENSMUSG00000033767/ENSMUSG00000028495/ENSMUSG00000027746/ENSMUSG00000003970/ENSMUSG00000006333/ENSMUSG00000054008/ENSMUSG00000006676/ENSMUSG00000057841/ENSMUSG00000029528,C7
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN,13,13/590,195/17849,0.0802013196835995,17750/22151/11492/17748/17381/216161/56455/246256/69550/74840/13039/22166/68576,Mt2/Tubb2a/Adam19/Mt1/Mmp12/Sbno2/Dynll1/Fcgr4/Bst2/Manf/Ctsl/Txn1/Lamtor5,ENSMUSG00000031762/ENSMUSG00000058672/ENSMUSG00000011256/ENSMUSG00000031765/ENSMUSG00000049723/ENSMUSG00000035673/ENSMUSG00000009013/ENSMUSG00000059089/ENSMUSG00000046718/ENSMUSG00000032575/ENSMUSG00000021477/ENSMUSG00000028367/ENSMUSG00000087260,C7
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_MAC_UP,13,13/590,195/17849,0.0802013196835995,100038909/11501/17750/80885/16177/17748/18726/16790/70789/78906/246256/12334/13039,Gm14548/Adam8/Mt2/Hcar2/Il1r1/Mt1/Lilra6/Anpep/Kynu/Misp/Fcgr4/Capn2/Ctsl,ENSMUSG00000074417/ENSMUSG00000025473/ENSMUSG00000031762/ENSMUSG00000045502/ENSMUSG00000026072/ENSMUSG00000031765/ENSMUSG00000030427/ENSMUSG00000039062/ENSMUSG00000026866/ENSMUSG00000035852/ENSMUSG00000059089/ENSMUSG00000026509/ENSMUSG00000021477,C7
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_DN,13,13/590,195/17849,0.0802013196835995,12978/70310/21810/105855/20846/66049/14268/235567/27361/110253/246256/110954/16452,Csf1r/Plscr3/Tgfbi/Nckap1l/Stat1/Rogdi/Fn1/Dnajc13/Msrb1/Triobp/Fcgr4/Rpl10/Jak2,ENSMUSG00000024621/ENSMUSG00000019461/ENSMUSG00000035493/ENSMUSG00000022488/ENSMUSG00000026104/ENSMUSG00000022540/ENSMUSG00000026193/ENSMUSG00000032560/ENSMUSG00000075705/ENSMUSG00000033088/ENSMUSG00000059089/ENSMUSG00000008682/ENSMUSG00000024789,C7
GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN,13,13/590,195/17849,0.0802013196835995,66610/12774/20304/17132/235627/320487/21825/11305/16168/17886/67784/320632/78304,Abi3/Ccr5/Ccl5/Maf/Nbeal2/Heatr5a/Thbs1/Abca2/Il15/Myh9/Plxnd1/Snrnp200/Naa38,ENSMUSG00000018381/ENSMUSG00000079227/ENSMUSG00000035042/ENSMUSG00000055435/ENSMUSG00000056724/ENSMUSG00000035181/ENSMUSG00000040152/ENSMUSG00000026944/ENSMUSG00000031712/ENSMUSG00000022443/ENSMUSG00000030123/ENSMUSG00000003660/ENSMUSG00000059278,C7
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP,13,13/590,195/17849,0.0802013196835995,18733/80885/100041146/52855/13823/66222/21825/20308/277463/19271/12549/213499/17966,Pirb/Hcar2/Gm15448/Lair1/Epb41l3/Serpinb1a/Thbs1/Ccl9/Gpr107/Ptprj/Arhgap31/Fbxo42/Nbr1,ENSMUSG00000058818/ENSMUSG00000045502/ENSMUSG00000074419/ENSMUSG00000055541/ENSMUSG00000024044/ENSMUSG00000044734/ENSMUSG00000040152/ENSMUSG00000019122/ENSMUSG00000000194/ENSMUSG00000025314/ENSMUSG00000022799/ENSMUSG00000028920/ENSMUSG00000017119,C7
GSE17721_LPS_VS_GARDIQUIMOD_8H_BMDC_UP,14,14/590,217/17849,0.08186303507940756,110557/121022/15018/71279/19262/74748/66454/18518/16168/20848/67890/66526/15040/72621,H2-Q6/Mrps6/H2-Q7/Slc29a3/Ptpra/Slamf8/Nmnat1/Igbp1/Il15/Stat3/Ufm1/Tceanc2/H2-T23/Pdzd11,ENSMUSG00000073409/ENSMUSG00000039680/ENSMUSG00000060550/ENSMUSG00000020100/ENSMUSG00000027303/ENSMUSG00000053318/ENSMUSG00000028992/ENSMUSG00000031221/ENSMUSG00000031712/ENSMUSG00000004040/ENSMUSG00000027746/ENSMUSG00000028619/ENSMUSG00000067212/ENSMUSG00000015668,C7
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP,13,13/590,196/17849,0.08259666290677344,15925/60504/121022/666468/217721/66049/68215/320727/56453/66865/230809/72621/75425,Ide/Il21r/Mrps6/Atg4a/Flvcr2/Rogdi/Fam98b/Ipo8/Mbtps1/Pmpca/Pdik1l/Pdzd11/Tti1,ENSMUSG00000056999/ENSMUSG00000030745/ENSMUSG00000039680/ENSMUSG00000079418/ENSMUSG00000034258/ENSMUSG00000022540/ENSMUSG00000027349/ENSMUSG00000040029/ENSMUSG00000031835/ENSMUSG00000026926/ENSMUSG00000050890/ENSMUSG00000015668/ENSMUSG00000027650,C7
GSE21063_WT_VS_NFATC1_KO_16H_ANTI_IGM_STIM_BCELL_UP,13,13/590,196/17849,0.08259666290677344,100038909/16409/227288/18751/66971/67581/245860/18726/11816/19267/67974/19303/20623,Gm14548/Itgam/Cxcr1/Prkcb/Cdk5rap1/Tbc1d23/Atg9a/Lilra6/Apoe/Ptpre/Ccny/Pxn/Snrk,ENSMUSG00000074417/ENSMUSG00000030786/ENSMUSG00000048480/ENSMUSG00000052889/ENSMUSG00000027487/ENSMUSG00000022749/ENSMUSG00000033124/ENSMUSG00000030427/ENSMUSG00000002985/ENSMUSG00000041836/ENSMUSG00000024286/ENSMUSG00000029528/ENSMUSG00000038145,C7
GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_UP,13,13/590,196/17849,0.08259666290677344,18733/100041146/227699/13038/20104/235567/78906/74392/20969/15531/193796/100038947/68576,Pirb/Gm15448/Nup188/Ctsk/Rps6/Dnajc13/Misp/Specc1l/Sdc1/Ndst1/Kdm4b/Sirpb1c/Lamtor5,ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000052533/ENSMUSG00000028111/ENSMUSG00000028495/ENSMUSG00000032560/ENSMUSG00000035852/ENSMUSG00000033444/ENSMUSG00000020592/ENSMUSG00000054008/ENSMUSG00000024201/ENSMUSG00000074677/ENSMUSG00000087260,C7
GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,13,13/590,196/17849,0.08259666290677344,218793/30963/52463/217119/71729/104718/66454/98970/268373/77683/16332/16452/18263,Ube2e2/Hacd1/Tet1/Xylt2/Rgs12/Ttc7b/Nmnat1/Fibcd1/Ppia/Ehmt1/Inppl1/Jak2/Odc1,ENSMUSG00000058317/ENSMUSG00000063275/ENSMUSG00000047146/ENSMUSG00000020868/ENSMUSG00000029101/ENSMUSG00000033530/ENSMUSG00000028992/ENSMUSG00000026841/ENSMUSG00000071866/ENSMUSG00000036893/ENSMUSG00000032737/ENSMUSG00000024789/ENSMUSG00000011179,C7
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_DN,13,13/590,196/17849,0.08259666290677344,218793/381217/74229/27389/14457/66871/15000/13367/67974/12334/17196/54519/71918,Ube2e2/Fam189a2/Paqr8/Dusp13/Gas7/Cpne8/H2-DMb2/Diaph1/Ccny/Capn2/Mbp/Apbb1ip/Zcchc24,ENSMUSG00000058317/ENSMUSG00000071604/ENSMUSG00000025931/ENSMUSG00000021768/ENSMUSG00000033066/ENSMUSG00000052560/ENSMUSG00000037548/ENSMUSG00000024456/ENSMUSG00000024286/ENSMUSG00000026509/ENSMUSG00000041607/ENSMUSG00000026786/ENSMUSG00000055538,C7
GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_DN,13,13/590,196/17849,0.08259666290677344,17750/66222/224273/22032/11658/17748/19271/18518/16190/17886/76551/15040/20535,Mt2/Serpinb1a/Crybg3/Traf4/Alcam/Mt1/Ptprj/Igbp1/Il4ra/Myh9/Ccdc6/H2-T23/Slc4a2,ENSMUSG00000031762/ENSMUSG00000044734/ENSMUSG00000022723/ENSMUSG00000017386/ENSMUSG00000022636/ENSMUSG00000031765/ENSMUSG00000025314/ENSMUSG00000031221/ENSMUSG00000030748/ENSMUSG00000022443/ENSMUSG00000048701/ENSMUSG00000067212/ENSMUSG00000028962,C7
GSE16385_IFNG_TNF_VS_UNSTIM_MACROPHAGE_ROSIGLITAZONE_TREATED_UP,12,12/590,175/17849,0.08278166187186115,75345/20354/319939/15018/237782/74392/544717/69550/15040/66431/19766/22166,Slamf7/Sema4d/Tns3/H2-Q7/Smcr8/Specc1l/1190007I07Rik/Bst2/H2-T23/Oxld1/Ripk1/Txn1,ENSMUSG00000038179/ENSMUSG00000021451/ENSMUSG00000020422/ENSMUSG00000060550/ENSMUSG00000049323/ENSMUSG00000033444/ENSMUSG00000063320/ENSMUSG00000046718/ENSMUSG00000067212/ENSMUSG00000039670/ENSMUSG00000021408/ENSMUSG00000028367,C7
GSE22886_NAIVE_CD8_TCELL_VS_DC_DN,13,13/590,197/17849,0.0849079027002876,66082/246782/21810/50934/217721/20430/15000/212898/71833/72145/22166/15194/20535,Abhd6/Atpaf2/Tgfbi/Slc7a8/Flvcr2/Cyfip1/H2-DMb2/Dse/Dcaf7/Wdfy3/Txn1/Htt/Slc4a2,ENSMUSG00000025277/ENSMUSG00000042709/ENSMUSG00000035493/ENSMUSG00000022180/ENSMUSG00000034258/ENSMUSG00000030447/ENSMUSG00000037548/ENSMUSG00000039497/ENSMUSG00000049354/ENSMUSG00000043940/ENSMUSG00000028367/ENSMUSG00000029104/ENSMUSG00000028962,C7
GSE25087_FETAL_VS_ADULT_TREG_UP,13,13/590,197/17849,0.0849079027002876,235431/77579/22032/20846/20430/19221/11911/99138/63955/18129/69719/68576/70012,Coro2b/Myh10/Traf4/Stat1/Cyfip1/Ptgfrn/Atf4/Stard7/Cables1/Notch2/Cad/Lamtor5/Cep85,ENSMUSG00000041729/ENSMUSG00000020900/ENSMUSG00000017386/ENSMUSG00000026104/ENSMUSG00000030447/ENSMUSG00000027864/ENSMUSG00000042406/ENSMUSG00000027367/ENSMUSG00000040957/ENSMUSG00000027878/ENSMUSG00000013629/ENSMUSG00000087260/ENSMUSG00000037443,C7
GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN,13,13/590,197/17849,0.0849079027002876,16832/195046/98496/14744/11658/17748/93694/19271/12847/20005/76846/16449/19989,Ldhb/Nlrp1a/Pid1/Gpr65/Alcam/Mt1/Clec2d/Ptprj/Copa/Rpl9/Rps9/Jag1/Rpl7,ENSMUSG00000030246/ENSMUSG00000069830/ENSMUSG00000045658/ENSMUSG00000021886/ENSMUSG00000022636/ENSMUSG00000031765/ENSMUSG00000030157/ENSMUSG00000025314/ENSMUSG00000026553/ENSMUSG00000047215/ENSMUSG00000006333/ENSMUSG00000027276/ENSMUSG00000043716,C7
GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_DN,13,13/590,197/17849,0.0849079027002876,11501/66610/12774/11554/228765/16004/20304/56222/13819/20430/66889/233328/208795,Adam8/Abi3/Ccr5/Adrb1/Sdcbp2/Igf2r/Ccl5/Cited4/Epas1/Cyfip1/Rnf128/Lrrk1/Tmem63a,ENSMUSG00000025473/ENSMUSG00000018381/ENSMUSG00000079227/ENSMUSG00000035283/ENSMUSG00000027456/ENSMUSG00000023830/ENSMUSG00000035042/ENSMUSG00000070803/ENSMUSG00000024140/ENSMUSG00000030447/ENSMUSG00000031438/ENSMUSG00000015133/ENSMUSG00000026519,C7
GSE31082_DP_VS_CD8_SP_THYMOCYTE_DN,13,13/590,197/17849,0.0849079027002876,210992/53614/217119/67865/16330/12925/246177/171212/17886/18129/56417/69719/18263,Lpcat1/Reck/Xylt2/Rgs10/Inpp5b/Crip1/Myo1g/Galnt10/Myh9/Notch2/Adar/Cad/Odc1,ENSMUSG00000021608/ENSMUSG00000028476/ENSMUSG00000020868/ENSMUSG00000030844/ENSMUSG00000028894/ENSMUSG00000006360/ENSMUSG00000020437/ENSMUSG00000020520/ENSMUSG00000022443/ENSMUSG00000027878/ENSMUSG00000027951/ENSMUSG00000013629/ENSMUSG00000011179,C7
GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_DN,13,13/590,197/17849,0.0849079027002876,19309/14457/245860/277463/12527/108903/19267/66411/18975/208795/217684/17069/14248,Pygm/Gas7/Atg9a/Gpr107/Cd9/Tbcd/Ptpre/Tbcb/Polg/Tmem63a/Susd6/Ly6e/Flii,ENSMUSG00000032648/ENSMUSG00000033066/ENSMUSG00000033124/ENSMUSG00000000194/ENSMUSG00000030342/ENSMUSG00000039230/ENSMUSG00000041836/ENSMUSG00000006095/ENSMUSG00000039176/ENSMUSG00000026519/ENSMUSG00000021133/ENSMUSG00000022587/ENSMUSG00000002812,C7
GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN,13,13/590,197/17849,0.0849079027002876,210992/64095/72141/101706/245860/108954/13367/18518/228136/69718/12913/213499/268420,Lpcat1/Gpr35/Adpgk/Numa1/Atg9a/Ppp1r15b/Diaph1/Igbp1/Zdhhc5/Ipmk/Creb3/Fbxo42/Alkbh5,ENSMUSG00000021608/ENSMUSG00000026271/ENSMUSG00000025236/ENSMUSG00000066306/ENSMUSG00000033124/ENSMUSG00000046062/ENSMUSG00000024456/ENSMUSG00000031221/ENSMUSG00000034075/ENSMUSG00000060733/ENSMUSG00000028466/ENSMUSG00000028920/ENSMUSG00000042650,C7
GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN,13,13/590,197/17849,0.0849079027002876,107182/15018/67581/244668/72145/13001/74840/217207/213499/100038947/338467/68576/69833,Btaf1/H2-Q7/Tbc1d23/Sipa1l2/Wdfy3/Csnk2b/Manf/Dhx8/Fbxo42/Sirpb1c/Morc3/Lamtor5/Polr2f,ENSMUSG00000040565/ENSMUSG00000060550/ENSMUSG00000022749/ENSMUSG00000001995/ENSMUSG00000043940/ENSMUSG00000024387/ENSMUSG00000032575/ENSMUSG00000034931/ENSMUSG00000028920/ENSMUSG00000074677/ENSMUSG00000039456/ENSMUSG00000087260/ENSMUSG00000033020,C7
GSE21033_CTRL_VS_POLYIC_STIM_DC_12H_UP,12,12/590,176/17849,0.0852713659218324,218793/14744/16162/64209/192176/12010/217664/212898/246177/21888/20933/67044,Ube2e2/Gpr65/Il12rb2/Herpud1/Flna/B2m/Mgat2/Dse/Myo1g/Tle4/Med22/Higd2a,ENSMUSG00000058317/ENSMUSG00000021886/ENSMUSG00000018341/ENSMUSG00000031770/ENSMUSG00000031328/ENSMUSG00000060802/ENSMUSG00000043998/ENSMUSG00000039497/ENSMUSG00000020437/ENSMUSG00000024642/ENSMUSG00000015776/ENSMUSG00000025868,C7
GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN,13,13/590,198/17849,0.0852713659218324,238377/67865/23943/192176/67338/171212/13135/21888/14470/55934/20084/16561/27368,Gpr68/Rgs10/Esyt1/Flna/Rffl/Galnt10/Dad1/Tle4/Rabac1/Rp9/Rps18/Kif1b/Tbl2,ENSMUSG00000047415/ENSMUSG00000030844/ENSMUSG00000025366/ENSMUSG00000031328/ENSMUSG00000020696/ENSMUSG00000020520/ENSMUSG00000022174/ENSMUSG00000024642/ENSMUSG00000003380/ENSMUSG00000032239/ENSMUSG00000008668/ENSMUSG00000063077/ENSMUSG00000005374,C7
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP,13,13/590,198/17849,0.0852713659218324,60504/217721/192187/226844/233276/53902/230809/75687/20641/22083/71918/69719/231841,Il21r/Flvcr2/Stab1/Flvcr1/Tubgcp5/Rcan3/Pdik1l/Ripor1/Snrpd1/Ctr9/Zcchc24/Cad/Brat1,ENSMUSG00000030745/ENSMUSG00000034258/ENSMUSG00000042286/ENSMUSG00000066595/ENSMUSG00000033790/ENSMUSG00000059713/ENSMUSG00000050890/ENSMUSG00000038604/ENSMUSG00000002477/ENSMUSG00000005609/ENSMUSG00000055538/ENSMUSG00000013629/ENSMUSG00000000148,C7
GSE26351_UNSTIM_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN,13,13/590,198/17849,0.0852713659218324,21778/319742/268373/76846/22273/228033/50783/56417/19989/19941/15194/20044/208501,Tex9/Mpzl3/Ppia/Rps9/Uqcrc1/Atp5g3/Lsm4/Adar/Rpl7/Rpl26/Htt/Rps14/Ndufaf8,ENSMUSG00000090626/ENSMUSG00000070305/ENSMUSG00000071866/ENSMUSG00000006333/ENSMUSG00000025651/ENSMUSG00000018770/ENSMUSG00000031848/ENSMUSG00000027951/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000029104/ENSMUSG00000024608/ENSMUSG00000078572,C7
GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_UP,13,13/590,198/17849,0.0852713659218324,217944/13421/215632/18751/224273/14457/319190/17913/19267/74302/338366/15040/56030,Rapgef5/Dnase1l3/Psd4/Prkcb/Crybg3/Gas7/Hist2h2be/Myo1c/Ptpre/Mtmr3/Mia3/H2-T23/Tmem131,ENSMUSG00000041992/ENSMUSG00000025279/ENSMUSG00000026979/ENSMUSG00000052889/ENSMUSG00000022723/ENSMUSG00000033066/ENSMUSG00000068854/ENSMUSG00000017774/ENSMUSG00000041836/ENSMUSG00000034354/ENSMUSG00000056050/ENSMUSG00000067212/ENSMUSG00000026116,C7
GSE33424_CD161_INT_VS_NEG_CD8_TCELL_DN,13,13/590,198/17849,0.0852713659218324,54725/268752/224273/100434/11658/245860/331524/20005/26936/11717/107197/20193/71918,Cadm1/Wdfy2/Crybg3/Slc44a1/Alcam/Atg9a/Xkrx/Rpl9/Mprip/Ampd3/Uqcc3/S100a1/Zcchc24,ENSMUSG00000032076/ENSMUSG00000014547/ENSMUSG00000022723/ENSMUSG00000028412/ENSMUSG00000022636/ENSMUSG00000033124/ENSMUSG00000031258/ENSMUSG00000047215/ENSMUSG00000005417/ENSMUSG00000005686/ENSMUSG00000071654/ENSMUSG00000044080/ENSMUSG00000055538,C7
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_MAC_DN,13,13/590,198/17849,0.0852713659218324,19309/239027/76969/229473/140570/243819/107686/21371/216001/22334/69550/50783/16561,Pygm/Arhgap22/Chst1/Tmem131l/Plxnb2/Ppp6r1/Snrpd2/Tbca/Micu1/Vdac2/Bst2/Lsm4/Kif1b,ENSMUSG00000032648/ENSMUSG00000063506/ENSMUSG00000027221/ENSMUSG00000033767/ENSMUSG00000036606/ENSMUSG00000052296/ENSMUSG00000040824/ENSMUSG00000042043/ENSMUSG00000020111/ENSMUSG00000021771/ENSMUSG00000046718/ENSMUSG00000031848/ENSMUSG00000063077,C7
GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_UP,13,13/590,198/17849,0.0852713659218324,105522/11492/12925/236920/12010/13367/20005/19267/75617/11911/22166/20623/19989,Ankrd28/Adam19/Crip1/Stard8/B2m/Diaph1/Rpl9/Ptpre/Rps25/Atf4/Txn1/Snrk/Rpl7,ENSMUSG00000014496/ENSMUSG00000011256/ENSMUSG00000006360/ENSMUSG00000031216/ENSMUSG00000060802/ENSMUSG00000024456/ENSMUSG00000047215/ENSMUSG00000041836/ENSMUSG00000009927/ENSMUSG00000042406/ENSMUSG00000028367/ENSMUSG00000038145/ENSMUSG00000043716,C7
GSE40685_NAIVE_CD4_TCELL_VS_TREG_DN,13,13/590,198/17849,0.0852713659218324,229521/268752/17179/22151/217721/75847/67899/19267/239985/19221/18975/19921/66177,Syt11/Wdfy2/Matk/Tubb2a/Flvcr2/Crppa/Cmc1/Ptpre/Arid1b/Ptgfrn/Polg/Rpl19/Ubl5,ENSMUSG00000068923/ENSMUSG00000014547/ENSMUSG00000004933/ENSMUSG00000058672/ENSMUSG00000034258/ENSMUSG00000043153/ENSMUSG00000039163/ENSMUSG00000041836/ENSMUSG00000069729/ENSMUSG00000027864/ENSMUSG00000039176/ENSMUSG00000017404/ENSMUSG00000084786,C7
GSE44649_WT_VS_MIR155_KO_NAIVE_CD8_TCELL_UP,13,13/590,198/17849,0.0852713659218324,54473/76267/12608/268752/69710/19126/236920/20970/17909/26390/50783/320405/16561,Tollip/Fads1/Cebpb/Wdfy2/Arap1/Prom1/Stard8/Sdc3/Myo10/Mapkbp1/Lsm4/Cadps2/Kif1b,ENSMUSG00000025139/ENSMUSG00000010663/ENSMUSG00000056501/ENSMUSG00000014547/ENSMUSG00000032812/ENSMUSG00000029086/ENSMUSG00000031216/ENSMUSG00000025743/ENSMUSG00000022272/ENSMUSG00000033902/ENSMUSG00000031848/ENSMUSG00000017978/ENSMUSG00000063077,C7
GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_UP,13,13/590,198/17849,0.0852713659218324,16419/104718/404710/243362/320727/230673/22334/67784/14155/17196/228033/215690/69719,Itgb5/Ttc7b/Iqgap3/Stard13/Ipo8/Ipo13/Vdac2/Plxnd1/Fem1b/Mbp/Atp5g3/Nav1/Cad,ENSMUSG00000022817/ENSMUSG00000033530/ENSMUSG00000028068/ENSMUSG00000016128/ENSMUSG00000040029/ENSMUSG00000033365/ENSMUSG00000021771/ENSMUSG00000030123/ENSMUSG00000032244/ENSMUSG00000041607/ENSMUSG00000018770/ENSMUSG00000009418/ENSMUSG00000013629,C7
GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_DN,13,13/590,198/17849,0.0852713659218324,140493/80885/52855/66222/320158/27801/404710/56455/18782/216001/66177/78304/67248,Kcnn3/Hcar2/Lair1/Serpinb1a/Zmat4/Zdhhc8/Iqgap3/Dynll1/Pla2g2d/Micu1/Ubl5/Naa38/Rpl39,ENSMUSG00000000794/ENSMUSG00000045502/ENSMUSG00000055541/ENSMUSG00000044734/ENSMUSG00000037492/ENSMUSG00000060166/ENSMUSG00000028068/ENSMUSG00000009013/ENSMUSG00000041202/ENSMUSG00000020111/ENSMUSG00000084786/ENSMUSG00000059278/ENSMUSG00000079641,C7
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_6H_DN,13,13/590,198/17849,0.0852713659218324,53614/11303/545378/214968/19883/20846/19271/226252/223753/53902/64652/12913/434341,Reck/Abca1/Sh2d1b2/Sema6d/Rora/Stat1/Ptprj/Fam160b1/Cerk/Rcan3/Nisch/Creb3/Nlrc5,ENSMUSG00000028476/ENSMUSG00000015243/ENSMUSG00000073494/ENSMUSG00000027200/ENSMUSG00000032238/ENSMUSG00000026104/ENSMUSG00000025314/ENSMUSG00000033478/ENSMUSG00000035891/ENSMUSG00000059713/ENSMUSG00000021910/ENSMUSG00000028466/ENSMUSG00000074151,C7
GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_UP,13,13/590,199/17849,0.0852713659218324,100038909/18733/12774/100041146/30963/21825/18726/27361/56455/218454/216001/241633/16561,Gm14548/Pirb/Ccr5/Gm15448/Hacd1/Thbs1/Lilra6/Msrb1/Dynll1/Lhfpl2/Micu1/Atp8b4/Kif1b,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000079227/ENSMUSG00000074419/ENSMUSG00000063275/ENSMUSG00000040152/ENSMUSG00000030427/ENSMUSG00000075705/ENSMUSG00000009013/ENSMUSG00000045312/ENSMUSG00000020111/ENSMUSG00000060131/ENSMUSG00000063077,C7
GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP,13,13/590,199/17849,0.0852713659218324,58205/71720/16004/11492/67865/17979/12874/74302/20947/100855/18129/76933/20740,Pdcd1lg2/Osbpl3/Igf2r/Adam19/Rgs10/Ncoa3/Cpd/Mtmr3/Swap70/Tbc1d14/Notch2/Ifi27l2a/Sptan1,ENSMUSG00000016498/ENSMUSG00000029822/ENSMUSG00000023830/ENSMUSG00000011256/ENSMUSG00000030844/ENSMUSG00000027678/ENSMUSG00000020841/ENSMUSG00000034354/ENSMUSG00000031015/ENSMUSG00000029192/ENSMUSG00000027878/ENSMUSG00000079017/ENSMUSG00000057738,C7
GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN,13,13/590,199/17849,0.0852713659218324,240753/16004/17387/224273/11492/13819/19262/30794/226252/77044/54519/20740/19989,Plekha6/Igf2r/Mmp14/Crybg3/Adam19/Epas1/Ptpra/Pdlim4/Fam160b1/Arid2/Apbb1ip/Sptan1/Rpl7,ENSMUSG00000041757/ENSMUSG00000023830/ENSMUSG00000000957/ENSMUSG00000022723/ENSMUSG00000011256/ENSMUSG00000024140/ENSMUSG00000027303/ENSMUSG00000020388/ENSMUSG00000033478/ENSMUSG00000033237/ENSMUSG00000026786/ENSMUSG00000057738/ENSMUSG00000043716,C7
GSE15930_STIM_VS_STIM_AND_IL12_48H_CD8_T_CELL_UP,13,13/590,199/17849,0.0852713659218324,18186/19262/67865/74315/23943/12527/17776/67784/18975/78304/20623/19989/20535,Nrp1/Ptpra/Rgs10/Rnf145/Esyt1/Cd9/Mast2/Plxnd1/Polg/Naa38/Snrk/Rpl7/Slc4a2,ENSMUSG00000025810/ENSMUSG00000027303/ENSMUSG00000030844/ENSMUSG00000019189/ENSMUSG00000025366/ENSMUSG00000030342/ENSMUSG00000003810/ENSMUSG00000030123/ENSMUSG00000039176/ENSMUSG00000059278/ENSMUSG00000038145/ENSMUSG00000043716/ENSMUSG00000028962,C7
GSE15930_STIM_VS_STIM_AND_IL12_72H_CD8_T_CELL_UP,13,13/590,199/17849,0.0852713659218324,16570/67581/404710/17776/244668/13367/12847/66154/231889/54519/19170/55934/69833,Kif3c/Tbc1d23/Iqgap3/Mast2/Sipa1l2/Diaph1/Copa/Tmem14c/Bud31/Apbb1ip/Psmb1/Rp9/Polr2f,ENSMUSG00000020668/ENSMUSG00000022749/ENSMUSG00000028068/ENSMUSG00000003810/ENSMUSG00000001995/ENSMUSG00000024456/ENSMUSG00000026553/ENSMUSG00000021361/ENSMUSG00000038722/ENSMUSG00000026786/ENSMUSG00000014769/ENSMUSG00000032239/ENSMUSG00000033020,C7
