Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN,23,23/590,201/17849,1.01681509783035e-4,100038909/18733/12978/319939/21810/11303/100041146/18173/13823/66102/68659/18726/15000/16790/70789/212898/19267/218454/72145/20947/213499/19170/216440,Gm14548/Pirb/Csf1r/Tns3/Tgfbi/Abca1/Gm15448/Slc11a1/Epb41l3/Cxcl16/Gask1b/Lilra6/H2-DMb2/Anpep/Kynu/Dse/Ptpre/Lhfpl2/Wdfy3/Swap70/Fbxo42/Psmb1/Os9,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000020422/ENSMUSG00000035493/ENSMUSG00000015243/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000024044/ENSMUSG00000018920/ENSMUSG00000027955/ENSMUSG00000030427/ENSMUSG00000037548/ENSMUSG00000039062/ENSMUSG00000026866/ENSMUSG00000039497/ENSMUSG00000041836/ENSMUSG00000045312/ENSMUSG00000043940/ENSMUSG00000031015/ENSMUSG00000028920/ENSMUSG00000014769/ENSMUSG00000040462,C7
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP,23,23/590,202/17849,1.0198745251681064e-4,380712/12978/210992/12608/20304/66222/14744/19883/67299/20430/110310/12527/140570/192176/233328/19267/16190/72145/17250/63955/75687/56386/19212,Tlcd2/Csf1r/Lpcat1/Cebpb/Ccl5/Serpinb1a/Gpr65/Rora/Dock7/Cyfip1/Krt7/Cd9/Plxnb2/Flna/Lrrk1/Ptpre/Il4ra/Wdfy3/Abcc1/Cables1/Ripor1/B4galt6/Pter,ENSMUSG00000038217/ENSMUSG00000024621/ENSMUSG00000021608/ENSMUSG00000056501/ENSMUSG00000035042/ENSMUSG00000044734/ENSMUSG00000021886/ENSMUSG00000032238/ENSMUSG00000028556/ENSMUSG00000030447/ENSMUSG00000023039/ENSMUSG00000030342/ENSMUSG00000036606/ENSMUSG00000031328/ENSMUSG00000015133/ENSMUSG00000041836/ENSMUSG00000030748/ENSMUSG00000043940/ENSMUSG00000023088/ENSMUSG00000040957/ENSMUSG00000038604/ENSMUSG00000056124/ENSMUSG00000026730,C7
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP,23,23/590,205/17849,1.2286553568242786e-4,100038909/60504/18733/76267/12978/64095/332579/54610/100041146/52855/18751/16177/27226/18636/239027/18726/15000/20308/69993/140570/67784/225845/210146,Gm14548/Il21r/Pirb/Fads1/Csf1r/Gpr35/Card9/Tbc1d8/Gm15448/Lair1/Prkcb/Il1r1/Pla2g7/Cfp/Arhgap22/Lilra6/H2-DMb2/Ccl9/Chn2/Plxnb2/Plxnd1/Plaat3/Irgq,ENSMUSG00000074417/ENSMUSG00000030745/ENSMUSG00000058818/ENSMUSG00000010663/ENSMUSG00000024621/ENSMUSG00000026271/ENSMUSG00000026928/ENSMUSG00000003134/ENSMUSG00000074419/ENSMUSG00000055541/ENSMUSG00000052889/ENSMUSG00000026072/ENSMUSG00000023913/ENSMUSG00000001128/ENSMUSG00000063506/ENSMUSG00000030427/ENSMUSG00000037548/ENSMUSG00000019122/ENSMUSG00000004633/ENSMUSG00000036606/ENSMUSG00000030123/ENSMUSG00000060675/ENSMUSG00000041037,C7
GSE22025_TGFB1_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP,22,22/590,191/17849,1.301982016664405e-4,20725/229521/80885/18173/114128/16000/71085/23943/12527/14268/104099/228850/74392/15531/69550/21888/17909/20933/16452/67248/68507/71918,Serpinb8/Syt11/Hcar2/Slc11a1/Laptm4b/Igf1/Arhgap19/Esyt1/Cd9/Fn1/Itga9/Ralgapb/Specc1l/Ndst1/Bst2/Tle4/Myo10/Med22/Jak2/Rpl39/Ppfia4/Zcchc24,ENSMUSG00000026315/ENSMUSG00000068923/ENSMUSG00000045502/ENSMUSG00000026177/ENSMUSG00000022257/ENSMUSG00000020053/ENSMUSG00000025154/ENSMUSG00000025366/ENSMUSG00000030342/ENSMUSG00000026193/ENSMUSG00000039115/ENSMUSG00000027652/ENSMUSG00000033444/ENSMUSG00000054008/ENSMUSG00000046718/ENSMUSG00000024642/ENSMUSG00000022272/ENSMUSG00000015776/ENSMUSG00000024789/ENSMUSG00000079641/ENSMUSG00000026458/ENSMUSG00000055538,C7
GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_DN,23,23/590,211/17849,1.7842969632605662e-4,110557/76267/20725/574428/17750/381217/226791/52855/15018/11492/77579/17748/64209/30794/212898/16190/74392/18782/20969/11911/23807/15040/80281,H2-Q6/Fads1/Serpinb8/Zmynd15/Mt2/Fam189a2/Lyplal1/Lair1/H2-Q7/Adam19/Myh10/Mt1/Herpud1/Pdlim4/Dse/Il4ra/Specc1l/Pla2g2d/Sdc1/Atf4/Arih2/H2-T23/Cttnbp2nl,ENSMUSG00000073409/ENSMUSG00000010663/ENSMUSG00000026315/ENSMUSG00000040829/ENSMUSG00000031762/ENSMUSG00000071604/ENSMUSG00000039246/ENSMUSG00000055541/ENSMUSG00000060550/ENSMUSG00000011256/ENSMUSG00000020900/ENSMUSG00000031765/ENSMUSG00000031770/ENSMUSG00000020388/ENSMUSG00000039497/ENSMUSG00000030748/ENSMUSG00000033444/ENSMUSG00000041202/ENSMUSG00000020592/ENSMUSG00000042406/ENSMUSG00000064145/ENSMUSG00000067212/ENSMUSG00000062127,C7
GSE6269_E_COLI_VS_STAPH_AUREUS_INF_PBMC_DN,21,21/590,183/17849,2.0568076834354024e-4,76267/16409/11501/80885/16004/19200/17132/16177/14457/235627/11658/192187/16790/72054/12874/19267/20848/15531/67784/16332/16449,Fads1/Itgam/Adam8/Hcar2/Igf2r/Pstpip1/Maf/Il1r1/Gas7/Nbeal2/Alcam/Stab1/Anpep/Cyp4f18/Cpd/Ptpre/Stat3/Ndst1/Plxnd1/Inppl1/Jag1,ENSMUSG00000010663/ENSMUSG00000030786/ENSMUSG00000025473/ENSMUSG00000045502/ENSMUSG00000023830/ENSMUSG00000032322/ENSMUSG00000055435/ENSMUSG00000026072/ENSMUSG00000033066/ENSMUSG00000056724/ENSMUSG00000022636/ENSMUSG00000042286/ENSMUSG00000039062/ENSMUSG00000003484/ENSMUSG00000020841/ENSMUSG00000041836/ENSMUSG00000004040/ENSMUSG00000054008/ENSMUSG00000030123/ENSMUSG00000032737/ENSMUSG00000027276,C7
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP,22,22/590,199/17849,2.0568076834354024e-4,12978/72333/15567/14733/15001/104759/20304/66222/100434/27053/71729/11658/20430/110310/56434/66049/14268/233328/78906/20947/225845/17250,Csf1r/Palld/Slc6a4/Gpc1/H2-Oa/Pld4/Ccl5/Serpinb1a/Slc44a1/Asns/Rgs12/Alcam/Cyfip1/Krt7/Tspan3/Rogdi/Fn1/Lrrk1/Misp/Swap70/Plaat3/Abcc1,ENSMUSG00000024621/ENSMUSG00000058056/ENSMUSG00000020838/ENSMUSG00000034220/ENSMUSG00000024334/ENSMUSG00000052160/ENSMUSG00000035042/ENSMUSG00000044734/ENSMUSG00000028412/ENSMUSG00000029752/ENSMUSG00000029101/ENSMUSG00000022636/ENSMUSG00000030447/ENSMUSG00000023039/ENSMUSG00000032324/ENSMUSG00000022540/ENSMUSG00000026193/ENSMUSG00000015133/ENSMUSG00000035852/ENSMUSG00000031015/ENSMUSG00000060675/ENSMUSG00000023088,C7
GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN,22,22/590,199/17849,2.0568076834354024e-4,18636/17748/20104/12010/20005/75617/268373/110954/20091/76846/225845/19921/27176/14155/228033/50783/67248/20084/20623/19989/20044/26451,Cfp/Mt1/Rps6/B2m/Rpl9/Rps25/Ppia/Rpl10/Rps3a1/Rps9/Plaat3/Rpl19/Rpl7a/Fem1b/Atp5g3/Lsm4/Rpl39/Rps18/Snrk/Rpl7/Rps14/Rpl27a,ENSMUSG00000001128/ENSMUSG00000031765/ENSMUSG00000028495/ENSMUSG00000060802/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000071866/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000060675/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000032244/ENSMUSG00000018770/ENSMUSG00000031848/ENSMUSG00000079641/ENSMUSG00000008668/ENSMUSG00000038145/ENSMUSG00000043716/ENSMUSG00000024608/ENSMUSG00000046364,C7
GSE2585_AIRE_KO_VS_WT_CD80_LOW_MTEC_DN,22,22/590,200/17849,2.1229344586924675e-4,380712/217304/20354/14733/104759/18173/246049/18751/13819/77579/11810/404710/11816/14276/12925/20005/246256/66508/15531/99371/74840/22273,Tlcd2/Cd300lb/Sema4d/Gpc1/Pld4/Slc11a1/Slc36a2/Prkcb/Epas1/Myh10/Apobec1/Iqgap3/Apoe/Folr2/Crip1/Rpl9/Fcgr4/Lamtor1/Ndst1/Arfgef2/Manf/Uqcrc1,ENSMUSG00000038217/ENSMUSG00000063193/ENSMUSG00000021451/ENSMUSG00000034220/ENSMUSG00000052160/ENSMUSG00000026177/ENSMUSG00000020264/ENSMUSG00000052889/ENSMUSG00000024140/ENSMUSG00000020900/ENSMUSG00000040613/ENSMUSG00000028068/ENSMUSG00000002985/ENSMUSG00000032725/ENSMUSG00000006360/ENSMUSG00000047215/ENSMUSG00000059089/ENSMUSG00000030842/ENSMUSG00000054008/ENSMUSG00000074582/ENSMUSG00000032575/ENSMUSG00000025651,C7
GSE10325_BCELL_VS_MYELOID_DN,22,22/590,201/17849,2.1959266603551933e-4,100038909/18733/12978/12273/12774/332579/54610/12608/21810/100041146/18173/14457/18636/18726/20430/66049/140570/27361/12874/19267/67784/13039,Gm14548/Pirb/Csf1r/C5ar1/Ccr5/Card9/Tbc1d8/Cebpb/Tgfbi/Gm15448/Slc11a1/Gas7/Cfp/Lilra6/Cyfip1/Rogdi/Plxnb2/Msrb1/Cpd/Ptpre/Plxnd1/Ctsl,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000079227/ENSMUSG00000026928/ENSMUSG00000003134/ENSMUSG00000056501/ENSMUSG00000035493/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000033066/ENSMUSG00000001128/ENSMUSG00000030427/ENSMUSG00000030447/ENSMUSG00000022540/ENSMUSG00000036606/ENSMUSG00000075705/ENSMUSG00000020841/ENSMUSG00000041836/ENSMUSG00000030123/ENSMUSG00000021477,C7
